"job_id","job_title","job_location","job_schedule_type","salary_year_avg","job_posted_date","comapny_name","skills"
814149,"Senior Methods and Data Analyst","Pune, Maharashtra, India","Full-time","111175.0","2023-03-10 07:20:10","NielsenIQ","spark"
814149,"Senior Methods and Data Analyst","Pune, Maharashtra, India","Full-time","111175.0","2023-03-10 07:20:10","NielsenIQ","pandas"
1025126,"Data Analyst","Bengaluru, Karnataka, India","Full-time","111175.0","2023-02-15 21:30:03","Truecaller","sql"
1025126,"Data Analyst","Bengaluru, Karnataka, India","Full-time","111175.0","2023-02-15 21:30:03","Truecaller","spark"
1025126,"Data Analyst","Bengaluru, Karnataka, India","Full-time","111175.0","2023-02-15 21:30:03","Truecaller","tableau"
494523,"Methods and Data Analyst","Pune, Maharashtra, India","Full-time","111175.0","2023-05-31 17:13:36","NielsenIQ","python"
494523,"Methods and Data Analyst","Pune, Maharashtra, India","Full-time","111175.0","2023-05-31 17:13:36","NielsenIQ","r"
494523,"Methods and Data Analyst","Pune, Maharashtra, India","Full-time","111175.0","2023-05-31 17:13:36","NielsenIQ","bash"
494523,"Methods and Data Analyst","Pune, Maharashtra, India","Full-time","111175.0","2023-05-31 17:13:36","NielsenIQ","azure"
494523,"Methods and Data Analyst","Pune, Maharashtra, India","Full-time","111175.0","2023-05-31 17:13:36","NielsenIQ","spark"
494523,"Methods and Data Analyst","Pune, Maharashtra, India","Full-time","111175.0","2023-05-31 17:13:36","NielsenIQ","pandas"
1578311,"Data Analyst - Food Growth","Bengaluru, Karnataka, India","Full-time","111175.0","2023-07-21 22:13:05","GoTo Group","sql"
1578311,"Data Analyst - Food Growth","Bengaluru, Karnataka, India","Full-time","111175.0","2023-07-21 22:13:05","GoTo Group","python"
1498936,"Data Analyst","Pune, Maharashtra, India","Full-time","111175.0","2023-07-07 07:14:15","DoorDash","sql"
1498936,"Data Analyst","Pune, Maharashtra, India","Full-time","111175.0","2023-07-07 07:14:15","DoorDash","r"
1498936,"Data Analyst","Pune, Maharashtra, India","Full-time","111175.0","2023-07-07 07:14:15","DoorDash","go"
1498936,"Data Analyst","Pune, Maharashtra, India","Full-time","111175.0","2023-07-07 07:14:15","DoorDash","airflow"
1498936,"Data Analyst","Pune, Maharashtra, India","Full-time","111175.0","2023-07-07 07:14:15","DoorDash","excel"
1498936,"Data Analyst","Pune, Maharashtra, India","Full-time","111175.0","2023-07-07 07:14:15","DoorDash","tableau"
554452,"Data Analyst - Operations - Onboarding and Subscription Management","Chennai, Tamil Nadu, India","Full-time","111175.0","2023-07-20 18:12:12","Arcadia","sql"
554452,"Data Analyst - Operations - Onboarding and Subscription Management","Chennai, Tamil Nadu, India","Full-time","111175.0","2023-07-20 18:12:12","Arcadia","electron"
554452,"Data Analyst - Operations - Onboarding and Subscription Management","Chennai, Tamil Nadu, India","Full-time","111175.0","2023-07-20 18:12:12","Arcadia","excel"
554452,"Data Analyst - Operations - Onboarding and Subscription Management","Chennai, Tamil Nadu, India","Full-time","111175.0","2023-07-20 18:12:12","Arcadia","word"
554452,"Data Analyst - Operations - Onboarding and Subscription Management","Chennai, Tamil Nadu, India","Full-time","111175.0","2023-07-20 18:12:12","Arcadia","powerpoint"
601909,"Process and Data Analyst","Bengaluru, Karnataka, India","Full-time","111175.0","2023-06-27 09:34:23","Bosch Group","sql"
601909,"Process and Data Analyst","Bengaluru, Karnataka, India","Full-time","111175.0","2023-06-27 09:34:23","Bosch Group","python"
601909,"Process and Data Analyst","Bengaluru, Karnataka, India","Full-time","111175.0","2023-06-27 09:34:23","Bosch Group","sap"
1781493,"Data Analyst","Chennai, Tamil Nadu, India","Full-time","111175.0","2023-07-28 09:10:41","Freshworks","excel"
1781493,"Data Analyst","Chennai, Tamil Nadu, India","Full-time","111175.0","2023-07-28 09:10:41","Freshworks","tableau"
1781493,"Data Analyst","Chennai, Tamil Nadu, India","Full-time","111175.0","2023-07-28 09:10:41","Freshworks","power bi"
1781493,"Data Analyst","Chennai, Tamil Nadu, India","Full-time","111175.0","2023-07-28 09:10:41","Freshworks","powerpoint"
